;;;;enero;enero;enero;enero;;febrero;febrero;febrero;febrero;;marzo;marzo;marzo;marzo;;abril;abril;abril;abril;;mayo;mayo;mayo;mayo;;junio;junio;junio;junio;;julio;julio;julio;julio;;agosto;agosto;agosto;agosto;;septiembre;septiembre;septiembre;septiembre;;octubre;octubre;octubre;octubre;;noviembre;noviembre;noviembre;noviembre;;diciembre;diciembre;diciembre;diciembre;;Total;Total;Total;Total;2024;2024;2024;2024;Total
__clase____descripcion;__subclase____descripcion;__producto____descripcion;codigo;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;;Kg ;ﾛ;Margen; ﾛ/Kilo ;Kg ;Margen; ﾛ/Kilo ;Precio medio;ﾛ
Pescados;Pejerrey;Total;181500100;4.550;20.020;4.778;1,05;7,00%;4.550;20.020;4.778;1,05;7,00%;7.150;31.460;7.508;1,05;11,00%;4.550;20.020;4.778;1,05;7,00%;5.200;22.880;5.460;1,05;8,00%;4.550;20.020;4.778;1,05;7,00%;5.200;22.880;5.460;1,05;8,00%;6.500;28.600;6.825;1,05;10,00%;5.200;22.880;5.460;1,05;8,00%;7.150;31.460;7.508;1,05;11,00%;5.200;22.880;5.460;1,05;8,00%;5.200;22.880;5.460;1,05;8,00%;65.000;286.000;68.250;1,05;65.000;68.250;1,05;4,40;
Pescados;Pescado Azul;Total;90350100;2.000;4.680;1.740;0,87;5,00%;2.000;4.680;1.740;0,87;5,00%;5.200;12.168;4.524;0,87;13,00%;2.400;5.616;2.088;0,87;6,00%;4.000;9.360;3.480;0,87;10,00%;3.200;7.488;2.784;0,87;8,00%;5.200;12.168;4.524;0,87;13,00%;4.800;11.232;4.176;0,87;12,00%;2.400;5.616;2.088;0,87;6,00%;3.200;7.488;2.784;0,87;8,00%;3.200;7.488;2.784;0,87;8,00%;2.400;5.616;2.088;0,87;6,00%;40.000;93.600;34.800;0,87;40.000;34.800;0,87;2,34;
Pescados;Pez Plata;Total;166000102;7.250;73.588;10.150;1,40;5,00%;7.250;73.588;10.150;1,40;5,00%;15.950;161.893;22.330;1,40;11,00%;10.150;103.023;14.210;1,40;7,00%;14.500;147.175;20.300;1,40;10,00%;10.150;103.023;14.210;1,40;7,00%;17.400;176.610;24.360;1,40;12,00%;20.300;206.045;28.420;1,40;14,00%;8.700;88.305;12.180;1,40;6,00%;14.500;147.175;20.300;1,40;10,00%;11.600;117.740;16.240;1,40;8,00%;7.250;73.588;10.150;1,40;5,00%;145.000;1.471.750;203.000;1,40;145.000;203.000;1,40;10,15;
Pescados;Rape;Total;166200102;12.500;45.000;9.625;0,77;5,00%;12.500;45.000;9.625;0,77;5,00%;27.500;99.000;21.175;0,77;11,00%;17.500;63.000;13.475;0,77;7,00%;27.500;99.000;21.175;0,77;11,00%;20.000;72.000;15.400;0,77;8,00%;27.500;99.000;21.175;0,77;11,00%;32.500;117.000;25.025;0,77;13,00%;17.500;63.000;13.475;0,77;7,00%;25.000;90.000;19.250;0,77;10,00%;17.500;63.000;13.475;0,77;7,00%;12.500;45.000;9.625;0,77;5,00%;250.000;900.000;192.500;0,77;250.000;192.500;0,77;3,60;
Pescados;Salm溶;Total;168400150;1.000;5.500;1.150;1,15;5,00%;1.000;5.500;1.150;1,15;5,00%;2.600;14.300;2.990;1,15;13,00%;1.200;6.600;1.380;1,15;6,00%;2.000;11.000;2.300;1,15;10,00%;1.600;8.800;1.840;1,15;8,00%;2.600;14.300;2.990;1,15;13,00%;2.400;13.200;2.760;1,15;12,00%;1.200;6.600;1.380;1,15;6,00%;1.600;8.800;1.840;1,15;8,00%;1.600;8.800;1.840;1,15;8,00%;1.200;6.600;1.380;1,15;6,00%;20.000;110.000;23.000;1,15;20.000;23.000;1,15;5,50;
Pescados;Tilapia;Total;166570104;2.000;6.000;1.200;0,60;5,00%;2.000;6.000;1.200;0,60;5,00%;5.200;15.600;3.120;0,60;13,00%;2.400;7.200;1.440;0,60;6,00%;4.000;12.000;2.400;0,60;10,00%;3.200;9.600;1.920;0,60;8,00%;5.200;15.600;3.120;0,60;13,00%;4.800;14.400;2.880;0,60;12,00%;2.400;7.200;1.440;0,60;6,00%;3.200;9.600;1.920;0,60;8,00%;3.200;9.600;1.920;0,60;8,00%;2.400;7.200;1.440;0,60;6,00%;40.000;120.000;24.000;0,60;40.000;24.000;0,60;3,00;
Pescados;Varios;Total;180545000;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0,00;0;;3,98;
Productos Ajenos;Total;;258052401;3.300;15.774;2.970;0,90;6,00%;3.300;15.774;2.970;0,90;6,00%;6.600;31.548;5.940;0,90;12,00%;4.400;21.032;3.960;0,90;8,00%;5.500;26.290;4.950;0,90;10,00%;4.400;21.032;3.960;0,90;8,00%;6.600;31.548;5.940;0,90;12,00%;6.600;31.548;5.940;0,90;12,00%;3.850;18.403;3.465;0,90;7,00%;4.400;21.032;3.960;0,90;8,00%;3.300;15.774;2.970;0,90;6,00%;2.750;13.145;2.475;0,90;5,00%;55.000;262.900;49.500;0,90;55.000;49.500;0,90;4,78;
Surimis;Total;;307110102;37.800;129.654;27.216;0,72;6,00%;37.800;129.654;27.216;0,72;6,00%;69.300;237.699;49.896;0,72;11,00%;44.100;151.263;31.752;0,72;7,00%;56.700;194.481;40.824;0,72;9,00%;56.700;194.481;40.824;0,72;9,00%;63.000;216.090;45.360;0,72;10,00%;69.300;237.699;49.896;0,72;11,00%;44.100;151.263;31.752;0,72;7,00%;56.700;194.481;40.824;0,72;9,00%;50.400;172.872;36.288;0,72;8,00%;44.100;151.263;31.752;0,72;7,00%;630.000;2.160.900;453.600;0,72;630.000;453.600;0,72;3,43;
Varios;Total;;258170101;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;;0,00%;0;0;0;0,00;0;0;;;
Total;;;;356.450;1.698.311;380.086;1,07;;347.150;1.643.801;368.786;1,07;;632.610;3.005.700;671.006;1,07;;467.420;2.250.798;502.660;1,07;;574.400;2.746.000;613.207;1,07;;493.860;2.346.900;524.892;1,07;;635.610;3.079.727;682.488;1,07;;711.590;3.449.445;764.967;1,07;;410.470;1.944.749;433.640;1,07;;530.810;2.538.021;563.171;1,07;;446.510;2.147.256;475.833;1,07;;315.120;1.521.784;334.868;1,07;;5.922.000;28.372.490;6.315.600;1,07;5.922.000;6.315.600;1,07;;

